alcohol,chlorides,volatile_acidity,total_sulfur_dioxide,fixed_acidity,quality,quality_class
11.8,0.052000000000000005,0.22,87.0,7.7,6,1
10.2,0.044000000000000004,0.18,127.0,6.5,7,2
8.7,0.05,0.46,192.0,7.2,5,1
9.6,0.05,0.3,168.0,7.0,7,2
11.3,0.026000000000000002,0.25,93.0,9.2,7,2
12.1,0.027999999999999997,0.28,118.0,7.8,7,2
9.6,0.05,0.3,168.0,7.0,7,2
12.1,0.027999999999999997,0.28,118.0,7.8,7,2
11.3,0.026000000000000002,0.25,93.0,9.2,7,2
9.4,0.046,0.35,160.0,8.4,5,1
10.4,0.049,0.41,137.0,6.1,6,1
9.5,0.044000000000000004,0.21,165.0,5.9,5,1
12.3,0.047,0.34,144.0,7.2,6,1
9.9,0.049,0.21,150.0,6.7,7,2
10.1,0.057,0.37,128.0,5.9,5,1
9.2,0.063,0.34,184.0,7.7,6,1
10.4,0.046,0.3,135.0,7.4,7,2
9.1,0.066,0.51,165.0,6.8,5,1
10.0,0.059000000000000004,0.22,99.0,7.8,6,1
11.5,0.051,0.35,37.0,7.2,6,1
9.8,0.048,0.26,153.0,6.0,5,1
9.8,0.05,0.26,154.0,6.1,6,1
9.4,0.04,0.28,179.0,6.5,6,1
8.7,0.051,0.41,194.0,7.4,5,1
11.6,0.038,0.28,107.0,6.5,7,2
8.8,0.047,0.34,181.0,6.7,5,1
12.7,0.032,0.2,151.0,7.2,7,2
11.7,0.035,0.2,138.0,7.4,7,2
10.2,0.047,0.22,185.0,8.2,6,1
10.2,0.047,0.23,187.0,8.2,6,1
12.7,0.033,0.22,153.0,7.1,7,2
11.6,0.038,0.28,107.0,6.5,7,2
12.3,0.034,0.38,134.0,6.0,7,2
8.7,0.051,0.41,194.0,7.4,5,1
9.4,0.042,0.18,111.0,5.7,5,1
10.1,0.055999999999999994,0.3,168.0,7.3,6,1
9.7,0.042,0.24,81.0,7.4,6,1
10.1,0.046,0.25,134.0,6.6,7,2
9.7,0.042,0.24,81.0,7.4,6,1
8.9,0.049,0.26,157.0,7.4,6,1
10.8,0.034,0.32,136.0,6.1,7,2
10.8,0.036000000000000004,0.28,121.0,6.9,7,2
9.5,0.04,0.23,136.0,7.0,6,1
9.1,0.059000000000000004,0.31,148.0,7.1,5,1
10.9,0.037000000000000005,0.2,119.0,7.3,6,1
9.4,0.043,0.41,152.0,6.9,5,1
10.8,0.03,0.45,131.0,6.4,5,1
10.8,0.03,0.475,131.0,6.4,5,1
10.5,0.051,0.27,140.0,6.3,7,2
9.4,0.043,0.41,152.0,6.9,5,1
10.8,0.034,0.29,127.0,7.0,6,1
10.5,0.036000000000000004,0.27,115.0,5.9,8,2
11.5,0.036000000000000004,0.19,55.0,6.9,7,2
9.4,0.18,0.3,160.0,6.7,6,1
10.8,0.045,0.24,106.0,7.2,6,1
10.8,0.03,0.45,131.0,6.4,5,1
10.8,0.03,0.475,131.0,6.4,5,1
9.8,0.052000000000000005,0.26,134.0,6.3,6,1
9.8,0.052000000000000005,0.26,134.0,6.3,6,1
9.6,0.049,0.25,158.0,7.3,5,1
9.6,0.049,0.25,158.0,7.3,5,1
9.5,0.044000000000000004,0.28,161.0,6.1,5,1
10.7,0.061,0.37,94.0,7.4,6,1
12.4,0.037000000000000005,0.36,119.0,6.5,8,2
11.1,0.032,0.24,95.0,7.4,6,1
8.8,0.047,0.23,133.0,7.5,5,1
8.7,0.045,0.21,133.0,7.5,5,1
8.7,0.045,0.21,133.0,7.5,5,1
8.8,0.047,0.23,133.0,7.5,5,1
11.7,0.037000000000000005,0.32,101.0,7.8,7,2
10.9,0.051,0.26,195.0,7.8,6,1
10.8,0.051,0.24,190.0,7.7,6,1
9.6,0.057,0.19,135.0,7.4,6,1
9.0,0.084,0.46,222.0,6.5,5,1
9.0,0.083,0.26,171.0,6.5,5,1
10.4,0.043,0.32,141.0,5.3,6,1
11.4,0.045,0.24,64.0,7.2,5,1
9.3,0.066,0.36,128.0,6.0,5,1
11.0,0.039,0.24,130.0,6.2,8,2
9.1,0.096,0.56,177.0,7.6,4,0
9.4,0.048,0.32,228.0,7.0,6,1
9.4,0.048,0.32,228.0,7.0,6,1
10.5,0.036000000000000004,0.31,99.0,5.8,6,1
8.8,0.05,0.23,144.0,7.0,5,1
8.8,0.05,0.23,144.0,7.0,5,1
10.7,0.04,0.24,131.0,6.9,6,1
9.5,0.045,0.29,187.0,6.0,5,1
10.9,0.033,0.17,150.0,6.1,6,1
10.8,0.027000000000000003,0.14,140.0,5.9,6,1
10.8,0.037000000000000005,0.17,133.0,6.2,7,2
9.2,0.053,0.28,148.0,7.4,5,1
10.3,0.046,0.35,198.0,5.6,5,1
10.3,0.046,0.335,197.0,5.8,5,1
11.0,0.047,0.235,127.0,5.6,7,2
9.0,0.054000000000000006,0.28,189.0,6.1,4,0
10.4,0.046,0.21,179.0,6.3,6,1
9.5,0.05,0.24,163.0,6.4,5,1
9.5,0.051,0.24,166.0,6.4,5,1
9.0,0.057999999999999996,0.26,166.0,6.3,5,1
9.5,0.061,0.33,151.0,6.5,4,0
9.0,0.05,0.105,146.0,7.4,6,1
10.0,0.040999999999999995,0.32,190.0,6.0,5,1
9.1,0.067,0.26,189.0,7.1,7,2
9.1,0.067,0.26,189.0,7.1,7,2
9.1,0.067,0.26,189.0,7.1,7,2
9.1,0.067,0.26,189.0,7.1,7,2
9.5,0.053,0.24,134.0,5.9,6,1
11.4,0.048,0.21,138.0,6.5,7,2
12.2,0.03,0.27,117.0,7.7,6,1
11.3,0.027999999999999997,0.27,95.0,9.0,6,1
10.2,0.05,0.34,136.0,7.3,5,1
11.3,0.052000000000000005,0.27,188.0,6.6,5,1
10.0,0.038,0.29,234.5,6.8,4,0
9.4,0.049,0.28,86.0,7.1,5,1
12.2,0.032,0.25,133.0,6.8,7,2
9.2,0.094,0.57,188.0,7.0,4,0
9.4,0.049,0.28,86.0,7.1,5,1
9.6,0.052000000000000005,0.17,182.0,7.1,6,1
9.5,0.055999999999999994,0.28,130.0,7.8,5,1
12.5,0.036000000000000004,0.22,195.0,6.8,6,1
9.6,0.052000000000000005,0.17,182.0,7.1,6,1
10.0,0.047,0.14,173.0,6.1,6,1
9.3,0.047,0.24,211.0,6.4,5,1
9.3,0.057999999999999996,0.42,199.0,7.8,6,1
11.6,0.038,0.28,101.0,6.6,6,1
12.5,0.039,0.32,150.0,7.1,8,2
10.6,0.038,0.31,130.0,6.7,6,1
9.4,0.047,0.32,206.0,6.4,5,1
9.1,0.055999999999999994,0.28,201.0,6.1,6,1
9.0,0.057,0.29,224.0,5.9,6,1
11.8,0.033,0.32,94.0,5.8,7,2
11.8,0.033,0.32,94.0,5.8,7,2
11.8,0.033,0.32,94.0,5.7,7,2
10.0,0.043,0.28,159.0,6.7,5,1
9.7,0.057999999999999996,0.34,171.0,6.8,5,1
9.5,0.052000000000000005,0.25,165.0,5.9,6,1
9.4,0.24,0.27,174.0,6.4,5,1
11.2,0.052000000000000005,0.46,183.0,8.1,5,1
9.0,0.051,0.36,201.0,6.2,5,1
10.7,0.043,0.22,114.0,6.8,7,2
9.0,0.29,0.67,193.0,6.8,4,0
9.1,0.044000000000000004,0.28,222.0,7.2,6,1
10.8,0.039,0.17,125.0,6.7,7,2
10.1,0.043,0.2,136.0,6.9,4,0
9.9,0.037000000000000005,0.36,198.0,6.1,6,1
9.8,0.036000000000000004,0.36,191.0,6.0,5,1
9.8,0.036000000000000004,0.37,185.0,5.9,5,1
9.5,0.040999999999999995,0.29,225.0,7.6,6,1
9.5,0.047,0.34,198.0,6.3,5,1
11.1,0.022000000000000002,0.19,94.0,6.7,6,1
9.5,0.039,0.31,204.0,7.5,5,1
9.5,0.039,0.31,204.0,7.5,5,1
9.4,0.042,0.31,204.0,7.4,5,1
9.7,0.042,0.4,197.0,8.4,5,1
13.9,0.03,0.34,135.0,5.9,7,2
10.1,0.042,0.38,84.0,6.6,4,0
10.5,0.038,0.33,110.0,6.4,6,1
12.6,0.037000000000000005,0.25,115.0,5.6,6,1
10.9,0.032,0.27,41.0,8.6,5,1
10.0,0.040999999999999995,0.31,218.0,6.2,5,1
11.2,0.046,0.18,166.0,7.2,6,1
10.0,0.05,0.2,130.0,7.7,6,1
9.2,0.044000000000000004,0.47,98.0,6.2,5,1
9.5,0.046,0.25,172.0,6.1,5,1
12.3,0.035,0.27,128.0,8.2,6,1
12.3,0.035,0.27,128.0,8.2,6,1
10.0,0.04,0.31,213.0,6.4,5,1
10.8,0.038,0.39,187.0,6.0,6,1
10.5,0.038,0.21,150.0,6.2,7,2
9.2,0.048,0.42,221.0,7.7,6,1
9.1,0.042,0.27,157.0,7.0,5,1
10.5,0.038,0.21,150.0,6.2,7,2
10.2,0.042,0.29,127.0,7.4,7,2
8.9,0.053,0.29,178.0,6.6,5,1
10.4,0.046,0.3,182.0,6.0,5,1
11.7,0.032,0.31,128.0,6.9,6,1
12.4,0.02,0.33,89.0,6.6,8,2
10.9,0.027999999999999997,0.3,122.0,7.8,7,2
10.2,0.040999999999999995,0.39,136.0,6.4,5,1
11.7,0.038,0.24,114.0,6.4,7,2
9.4,0.057,0.21,101.0,7.0,5,1
10.5,0.043,0.16,157.0,6.4,5,1
9.4,0.185,0.33,188.0,6.0,5,1
10.4,0.042,0.23,139.0,6.5,6,1
9.5,0.044000000000000004,0.25,240.0,6.2,6,1
11.1,0.022000000000000002,0.28,49.0,8.8,7,2
9.1,0.052000000000000005,0.25,183.0,6.6,6,1
9.2,0.04,0.38,191.0,6.9,5,1
9.6,0.038,0.25,129.0,6.4,6,1
9.1,0.052000000000000005,0.25,183.0,6.6,6,1
9.2,0.04,0.38,191.0,6.9,5,1
10.8,0.021,0.21,142.0,7.1,7,2
9.6,0.038,0.25,129.0,6.4,6,1
12.6,0.022000000000000002,0.39,19.0,6.9,3,0
11.0,0.031,0.2,57.0,5.8,6,1
10.2,0.03,0.2,136.0,7.0,6,1
9.4,0.034,0.26,152.0,5.9,5,1
10.0,0.040999999999999995,0.38,160.0,7.4,5,1
12.2,0.022000000000000002,0.2,113.0,7.4,6,1
10.5,0.033,0.21,253.0,7.0,6,1
11.5,0.024,0.29,177.0,7.2,6,1
9.8,0.049,0.18,176.0,6.9,6,1
11.4,0.025,0.3,175.0,7.3,6,1
11.5,0.024,0.29,177.0,7.2,6,1
10.2,0.036000000000000004,0.2,167.0,6.9,6,1
9.4,0.038,0.2,160.0,6.7,6,1
10.5,0.033,0.21,253.0,7.0,6,1
9.1,0.11,0.35,138.0,5.9,5,1
12.2,0.032,0.28,107.0,7.1,7,2
9.5,0.055999999999999994,0.25,175.0,5.8,5,1
9.3,0.051,0.22,178.0,6.8,6,1
9.8,0.051,0.14,136.0,7.1,7,2
9.8,0.047,0.13,134.0,7.1,7,2
9.8,0.049,0.18,176.0,6.9,6,1
9.8,0.05,0.2,173.0,7.0,6,1
8.7,0.057,0.24,247.0,6.8,5,1
10.2,0.039,0.44,128.0,5.0,6,1
9.5,0.042,0.3,168.0,6.3,6,1
11.0,0.05,0.27,135.0,7.2,6,1
9.2,0.078,0.5,238.0,6.7,5,1
10.9,0.027999999999999997,0.2,46.0,6.8,6,1
9.3,0.043,0.11,113.0,6.7,7,2
9.3,0.043,0.11,113.0,6.7,7,2
9.8,0.045,0.12,120.0,6.8,7,2
9.3,0.13,0.16,140.0,6.6,7,2
9.3,0.135,0.21,144.0,6.6,7,2
9.4,0.039,0.27,172.0,6.1,5,1
10.4,0.035,0.27,124.0,9.1,9,2
12.1,0.115,0.225,104.0,6.4,6,1
11.0,0.039,0.14,98.0,8.3,6,1
9.0,0.052000000000000005,0.23,197.0,7.2,5,1
9.5,0.053,0.22,178.0,6.9,7,2
8.8,0.053,0.17,145.0,8.1,8,2
11.2,0.042,0.395,55.0,6.0,4,0
9.3,0.055999999999999994,0.29,213.0,7.8,6,1
9.5,0.053,0.22,178.0,6.9,7,2
8.8,0.053,0.17,145.0,8.1,8,2
9.0,0.052000000000000005,0.23,197.0,7.2,5,1
9.3,0.039,0.3,119.0,7.6,6,1
9.2,0.04,0.34,117.0,7.7,6,1
9.2,0.04,0.34,117.0,7.7,6,1
10.0,0.037000000000000005,0.34,116.0,5.8,7,2
9.3,0.039,0.3,119.0,7.6,6,1
9.2,0.04,0.34,117.0,7.7,6,1
10.9,0.033,0.24,92.0,5.9,7,2
10.0,0.046,0.46,144.0,6.4,5,1
10.9,0.033,0.24,92.0,5.9,7,2
9.3,0.049,0.32,173.0,7.4,5,1
9.0,0.05,0.31,157.0,7.2,5,1
9.2,0.054000000000000006,0.42,215.0,7.8,6,1
9.6,0.046,0.24,153.0,6.9,6,1
9.4,0.040999999999999995,0.18,113.0,5.4,6,1
11.1,0.036000000000000004,0.18,75.0,6.0,8,2
8.9,0.036000000000000004,0.27,161.0,7.8,6,1
9.3,0.048,0.28,222.0,6.0,5,1
9.3,0.044000000000000004,0.39,220.0,6.8,5,1
9.8,0.039,0.21,165.0,6.6,7,2
9.8,0.032,0.32,112.0,7.3,6,1
8.9,0.036000000000000004,0.27,161.0,7.8,6,1
9.6,0.046,0.31,205.0,6.4,5,1
9.6,0.046,0.29,204.0,6.2,6,1
9.0,0.046,0.39,246.0,6.0,6,1
9.5,0.046,0.3,206.0,6.2,6,1
9.3,0.048,0.28,222.0,6.0,5,1
9.2,0.063,0.41,120.0,6.0,6,1
9.1,0.055,0.35,160.0,6.4,7,2
9.5,0.045,0.26,166.0,6.5,6,1
10.5,0.07200000000000001,0.35,229.0,7.9,6,1
9.0,0.04,0.3,125.0,6.2,5,1
11.7,0.036000000000000004,0.18,77.0,8.4,5,1
9.1,0.034,0.56,133.0,6.6,5,1
9.0,0.04,0.3,125.0,6.2,5,1
9.1,0.034,0.56,133.0,6.6,5,1
12.4,0.021,0.36,85.0,6.6,9,2
9.2,0.071,0.655,212.0,7.3,6,1
9.4,0.053,0.18,104.0,6.8,5,1
9.6,0.047,0.19,117.0,6.7,6,1
11.7,0.036000000000000004,0.18,77.0,8.4,5,1
9.8,0.042,0.21,167.0,7.0,6,1
10.2,0.046,0.25,155.0,6.8,6,1
12.5,0.031,0.24,139.0,7.4,9,2
10.9,0.044000000000000004,0.16,90.0,7.1,7,2
11.0,0.043,0.16,90.0,7.1,7,2
10.5,0.06,0.205,110.0,7.3,6,1
11.5,0.037000000000000005,0.17,161.0,7.4,4,0
12.8,0.044000000000000004,0.3,108.0,7.3,8,2
12.2,0.035,0.25,82.0,6.9,6,1
10.5,0.06,0.205,110.0,7.3,6,1
12.8,0.04,0.42,108.0,7.5,8,2
11.9,0.034,0.25,177.0,7.3,8,2
11.9,0.034,0.25,177.0,7.3,8,2
11.9,0.034,0.25,177.0,7.3,8,2
12.0,0.034,0.34,126.0,7.5,7,2
12.0,0.036000000000000004,0.33,126.0,7.6,7,2
8.8,0.044000000000000004,0.23,169.0,8.7,7,2
8.8,0.044000000000000004,0.23,169.0,8.7,7,2
10.8,0.036000000000000004,0.19,101.0,6.9,7,2
11.0,0.034,0.21,118.0,7.3,8,2
11.0,0.034,0.21,118.0,7.3,8,2
9.3,0.035,0.22,153.0,6.6,5,1
10.8,0.026000000000000002,0.34,73.0,9.2,5,1
8.8,0.044000000000000004,0.23,169.0,8.7,7,2
11.5,0.03,0.2,105.0,6.0,6,1
10.8,0.036000000000000004,0.19,101.0,6.9,7,2
9.4,0.042,0.38,166.0,8.2,5,1
9.5,0.036000000000000004,0.18,117.0,6.9,7,2
8.6,0.039,0.34,151.0,7.7,5,1
9.5,0.036000000000000004,0.18,117.0,6.9,7,2
10.3,0.038,0.2,116.0,7.4,7,2
9.4,0.042,0.38,166.0,8.2,5,1
9.4,0.042,0.4,169.0,8.2,5,1
10.0,0.038,0.22,149.0,6.7,7,2
9.4,0.17,0.3,166.0,6.6,5,1
10.4,0.03,0.27,103.0,8.1,8,2
9.1,0.040999999999999995,0.25,182.0,7.3,7,2
9.9,0.027999999999999997,0.34,163.0,4.8,6,1
12.1,0.028999999999999998,0.28,111.0,6.2,6,1
9.9,0.027999999999999997,0.33,163.0,4.8,5,1
12.5,0.021,0.27,117.0,6.1,6,1
9.5,0.036000000000000004,0.18,117.0,6.9,7,2
8.5,0.042,0.18,143.0,7.8,8,2
9.0,0.04,0.28,173.0,7.3,7,2
10.1,0.037000000000000005,0.24,97.0,7.3,6,1
9.4,0.08,0.45,159.0,6.0,5,1
8.6,0.039,0.34,151.0,7.7,5,1
10.7,0.03,0.26,125.0,6.3,6,1
10.1,0.028999999999999998,0.15,64.0,7.7,5,1
10.0,0.037000000000000005,0.21,141.0,7.1,7,2
12.7,0.018000000000000002,0.36,119.0,6.9,9,2
10.2,0.11900000000000001,0.28,104.0,6.0,6,1
8.9,0.126,0.16,110.0,6.2,6,1
11.9,0.037000000000000005,0.12,111.0,6.9,8,2
10.0,0.037000000000000005,0.21,141.0,7.1,7,2
9.9,0.04,0.36,121.0,8.8,6,1
11.5,0.022000000000000002,0.26,125.0,7.4,6,1
11.5,0.022000000000000002,0.26,125.0,7.4,6,1
9.8,0.035,0.23,236.0,6.8,6,1
12.2,0.024,0.34,105.0,6.1,7,2
11.4,0.04,0.26,173.0,7.3,6,1
11.0,0.044000000000000004,0.3,90.0,6.5,7,2
11.4,0.04,0.26,173.0,7.3,6,1
11.0,0.044000000000000004,0.3,90.0,6.5,7,2
9.9,0.046,0.31,166.0,5.0,6,1
11.0,0.031,0.26,114.0,5.8,7,2
9.4,0.036000000000000004,0.26,114.0,5.9,5,1
12.2,0.037000000000000005,0.31,128.0,7.0,7,2
11.0,0.031,0.26,114.0,5.8,7,2
10.3,0.043,0.19,67.0,5.6,6,1
10.5,0.047,0.18,242.0,6.8,6,1
10.5,0.044000000000000004,0.29,87.0,7.0,6,1
10.9,0.039,0.26,67.0,6.6,6,1
10.5,0.047,0.18,242.0,6.8,6,1
11.0,0.052000000000000005,0.2,145.0,6.6,7,2
9.7,0.046,0.29,113.0,8.0,6,1
8.9,0.048,0.28,229.0,6.1,5,1
9.6,0.047,0.31,206.0,5.9,6,1
8.8,0.055999999999999994,0.21,159.0,6.9,8,2
11.1,0.047,0.19,101.0,8.4,4,0
10.3,0.048,0.27,72.0,8.3,4,0
12.2,0.036000000000000004,0.25,124.0,7.1,8,2
9.8,0.054000000000000006,0.23,159.0,8.0,4,0
8.8,0.049,0.24,217.0,7.5,5,1
9.9,0.04,0.33,144.0,6.3,5,1
9.9,0.042,0.33,143.0,6.2,5,1
9.9,0.040999999999999995,0.34,145.0,6.3,5,1
9.2,0.038,0.29,30.0,5.8,5,1
9.5,0.05,0.32,88.0,8.0,4,0
9.2,0.038,0.29,30.0,5.6,5,1
10.3,0.042,0.13,137.0,7.4,7,2
11.0,0.037000000000000005,0.3,124.0,7.7,6,1
11.9,0.031,0.24,107.0,7.0,6,1
10.2,0.04,0.18,107.0,8.6,7,2
9.4,0.057,0.11,144.0,7.0,7,2
8.9,0.036000000000000004,0.32,153.0,7.7,6,1
8.9,0.036000000000000004,0.32,153.0,7.7,6,1
10.0,0.044000000000000004,0.26,215.0,6.5,6,1
10.7,0.044000000000000004,0.28,152.0,7.9,8,2
9.8,0.047,0.27,100.0,6.3,5,1
9.3,0.042,0.595,80.0,5.4,5,1
9.5,0.057,0.25,173.0,6.7,7,2
10.0,0.055,0.25,179.0,6.5,5,1
9.0,0.044000000000000004,0.36,115.0,6.1,5,1
11.9,0.017,0.17,84.0,7.7,7,2
8.9,0.033,0.26,230.0,6.4,5,1
10.0,0.046,0.26,225.0,6.5,6,1
9.6,0.037000000000000005,0.29,205.0,5.9,5,1
8.9,0.039,0.28,233.0,6.2,5,1
8.9,0.040999999999999995,0.27,230.0,6.1,5,1
11.4,0.048,0.43,67.0,6.4,5,1
9.0,0.044000000000000004,0.36,115.0,6.1,5,1
10.0,0.044000000000000004,0.35,244.0,6.2,6,1
9.6,0.044000000000000004,0.24,194.0,7.7,7,2
9.7,0.034,0.34,197.0,6.2,5,1
9.5,0.037000000000000005,0.27,212.0,6.3,6,1
10.0,0.039,0.415,88.0,5.4,7,2
12.2,0.03,0.48,135.0,6.9,7,2
8.7,0.051,0.18,131.0,6.5,7,2
10.2,0.057999999999999996,0.15,105.0,6.7,7,2
9.6,0.047,0.345,205.0,8.2,5,1
10.0,0.039,0.16,147.0,8.5,5,1
9.5,0.048,0.705,57.0,6.8,4,0
11.5,0.034,0.25,84.0,7.3,5,1
9.5,0.043,0.345,134.0,7.6,5,1
9.8,0.035,0.22,143.0,7.6,6,1
10.1,0.027999999999999997,0.17,99.0,6.5,6,1
10.0,0.042,0.23,117.0,8.2,5,1
9.8,0.035,0.22,143.0,7.6,6,1
9.5,0.043,0.345,134.0,7.6,5,1
9.5,0.042,0.32,133.0,7.5,5,1
10.2,0.040999999999999995,0.23,79.0,6.6,7,2
10.2,0.039,0.2,78.0,6.6,7,2
9.0,0.05,0.24,174.0,7.3,6,1
9.0,0.05,0.24,174.0,7.3,6,1
12.3,0.037000000000000005,0.42,101.0,8.0,7,2
9.0,0.05,0.24,174.0,7.3,6,1
11.6,0.023,0.19,112.0,6.1,6,1
9.5,0.034,0.26,152.0,5.9,6,1
11.5,0.035,0.23,101.0,8.3,5,1
9.6,0.040999999999999995,0.34,188.0,6.5,6,1
9.0,0.039,0.22,153.0,6.8,6,1
12.0,0.027999999999999997,0.08,93.0,6.5,7,2
11.4,0.019,0.42,68.0,5.5,7,2
12.3,0.017,0.42,102.0,5.1,7,2
12.6,0.02,0.27,110.0,6.0,7,2
9.0,0.039,0.22,153.0,6.8,6,1
12.0,0.027999999999999997,0.08,93.0,6.5,7,2
11.7,0.046,0.13,114.0,7.1,6,1
9.2,0.054000000000000006,0.3,111.0,7.6,5,1
10.3,0.057999999999999996,0.13,131.0,6.6,6,1
8.6,0.05,0.14,189.0,6.5,5,1
10.7,0.037000000000000005,0.28,155.0,7.7,7,2
9.8,0.15,0.2,54.0,6.0,5,1
9.8,0.152,0.19,55.0,6.0,6,1
10.7,0.037000000000000005,0.28,155.0,7.7,7,2
12.5,0.027000000000000003,0.39,72.0,5.1,6,1
11.9,0.026000000000000002,0.36,77.0,5.7,6,1
10.8,0.043,0.19,149.0,6.9,5,1
10.5,0.05,0.41,122.0,6.0,6,1
10.3,0.054000000000000006,0.28,161.0,7.4,6,1
10.3,0.053,0.3,163.0,7.4,6,1
10.8,0.043,0.19,149.0,6.9,5,1
12.0,0.036000000000000004,0.28,117.0,7.7,7,2
10.2,0.04,0.16,143.0,8.6,6,1
10.2,0.046,0.26,69.0,8.2,4,0
9.9,0.049,0.25,217.0,6.5,5,1
10.1,0.046,0.24,62.0,7.0,4,0
9.5,0.04,0.18,187.0,8.6,6,1
10.5,0.046,0.27,154.0,7.8,6,1
10.4,0.046,0.26,29.0,6.0,5,1
9.5,0.062,0.24,152.0,6.1,6,1
9.2,0.055999999999999994,0.24,184.0,8.0,6,1
10.1,0.046,0.21,165.0,7.6,7,2
9.8,0.05,0.19,84.0,8.0,7,2
9.4,0.045,0.28,216.0,6.4,5,1
9.4,0.045,0.28,221.0,6.4,6,1
10.4,0.063,0.24,136.0,6.9,7,2
11.3,0.038,0.36,153.0,5.8,6,1
10.8,0.044000000000000004,0.18,91.0,6.6,6,1
11.3,0.038,0.36,153.0,5.8,6,1
9.3,0.052000000000000005,0.52,79.0,5.1,5,1
10.3,0.059000000000000004,0.22,199.0,6.6,7,2
10.5,0.055,0.15,146.0,8.3,6,1
10.3,0.043,0.16,109.0,7.6,6,1
11.2,0.048,0.16,173.0,7.7,7,2
10.3,0.057,0.16,98.0,8.3,6,1
9.5,0.048,0.25,210.0,6.2,5,1
8.9,0.064,0.16,162.0,6.1,5,1
10.2,0.036000000000000004,0.39,113.0,7.6,5,1
9.2,0.071,0.37,136.0,6.8,5,1
10.3,0.043,0.16,109.0,7.6,6,1
10.5,0.045,0.18,157.0,7.1,6,1
9.5,0.049,0.14,189.0,8.3,6,1
11.4,0.040999999999999995,0.2,125.0,8.6,7,2
11.4,0.040999999999999995,0.2,125.0,8.6,7,2
11.1,0.019,0.19,188.0,6.8,8,2
10.5,0.06,0.19,174.0,7.6,6,1
12.0,0.08800000000000001,0.34,185.0,6.8,6,1
9.7,0.039,0.15,123.0,6.2,6,1
10.2,0.042,0.14,140.0,6.6,6,1
9.5,0.04,0.55,60.0,8.0,4,0
10.4,0.052000000000000005,0.24,128.0,7.0,7,2
9.3,0.05,0.6,245.0,6.3,4,0
10.5,0.054000000000000006,0.2,166.0,7.1,6,1
10.0,0.047,0.34,232.0,6.2,6,1
10.2,0.055,0.3,234.0,7.1,6,1
10.2,0.055,0.3,234.0,7.1,6,1
9.1,0.244,0.64,227.0,7.9,3,0
10.2,0.04,0.17,148.0,8.8,6,1
10.7,0.06,0.17,75.0,7.5,5,1
9.7,0.044000000000000004,0.47,77.0,7.1,5,1
9.3,0.034,0.15,104.0,7.1,7,2
11.0,0.035,0.17,102.0,7.5,5,1
10.8,0.047,0.68,138.0,8.2,4,0
10.7,0.039,0.275,75.0,7.7,5,1
10.7,0.043,0.49,104.0,7.3,4,0
8.8,0.048,0.33,243.0,7.5,5,1
10.9,0.049,0.21,94.0,7.2,7,2
10.5,0.05,0.15,92.0,7.3,5,1
10.0,0.046,0.19,107.0,6.5,5,1
10.4,0.028999999999999998,0.31,61.0,7.0,5,1
9.2,0.038,0.4,75.0,8.3,5,1
12.6,0.035,0.37,116.0,6.1,6,1
9.0,0.048,0.24,152.0,7.3,5,1
9.2,0.13699999999999998,0.21,123.0,6.9,6,1
11.3,0.035,0.29,86.0,7.6,5,1
10.3,0.05,0.29,119.0,9.4,4,0
10.4,0.028999999999999998,0.31,61.0,7.0,5,1
10.0,0.049,0.26,111.0,8.6,5,1
10.7,0.06,0.21,111.0,7.5,6,1
9.0,0.09300000000000001,0.51,197.0,7.2,5,1
10.7,0.06,0.21,111.0,7.5,6,1
8.7,0.077,0.3,166.0,5.3,4,0
11.6,0.054000000000000006,0.26,121.0,8.0,7,2
9.4,0.07,0.21,185.0,7.0,5,1
9.5,0.079,0.26,216.0,6.7,5,1
9.5,0.073,0.26,202.0,6.7,5,1
10.9,0.07200000000000001,0.26,159.0,8.1,6,1
9.7,0.054000000000000006,0.22,126.0,8.3,5,1
9.1,0.048,0.3,172.0,6.4,6,1
11.1,0.037000000000000005,0.19,125.0,7.5,7,2
12.6,0.024,0.33,87.0,8.8,7,2
11.0,0.031,0.2,147.0,6.9,6,1
11.3,0.04,0.37,166.0,8.0,7,2
9.7,0.054000000000000006,0.22,126.0,8.3,5,1
10.9,0.036000000000000004,0.29,118.0,8.2,7,2
10.9,0.048,0.34,192.0,7.7,5,1
9.3,0.049,0.55,186.0,6.2,6,1
12.7,0.033,0.4,124.0,6.4,7,2
10.1,0.048,0.28,180.0,7.5,6,1
10.0,0.037000000000000005,0.26,132.0,7.8,5,1
9.8,0.051,0.26,197.0,6.5,5,1
10.1,0.046,0.34,227.0,6.3,6,1
9.0,0.059000000000000004,0.15,118.0,6.8,7,2
9.4,0.038,0.27,155.0,6.3,6,1
9.4,0.038,0.27,155.0,6.3,6,1
9.2,0.048,0.2,190.0,7.4,6,1
10.1,0.035,0.23,142.0,6.3,7,2
8.6,0.040999999999999995,0.31,160.0,7.3,5,1
11.2,0.027000000000000003,0.24,128.0,5.2,8,2
11.2,0.037000000000000005,0.24,123.0,7.0,8,2
9.2,0.048,0.2,190.0,7.4,6,1
10.6,0.034,0.17,127.0,7.0,7,2
9.3,0.049,0.21,213.0,8.3,6,1
8.9,0.048,0.21,178.0,7.2,6,1
10.6,0.069,0.21,156.0,7.1,6,1
10.6,0.038,0.17,132.0,8.4,7,2
8.8,0.045,0.24,183.0,7.4,5,1
11.0,0.033,0.24,97.0,5.3,8,2
